it_infinitive,en_infinitive,tense,1s,2s,3s,1p,2p,3p
UCCIDERE,TO KILL,PRESENTE,UCCIDO,UCCIDI,UCCIDE,UCCIDIAMO,UCCIDETE,UCCIDONO
UCCIDERE,TO KILL,IMPERFETTO,UCCIDEVO,UCCIDEVI,UCCIDEVA,UCCIDEVAMO,UCCIDEVATE,UCCIDEVANO
UCCIDERE,TO KILL,PASSATO REMOTO,UCCISI,UCCIDESTI,UCCISE,UCCIDEMMO,UCCIDESTE,UCCISERO
UCCIDERE,TO KILL,FUTURO SEMPLICE,UCCIDERÒ,UCCIDERAI,UCCIDERÀ,UCCIDEREMO,UCCIDERETE,UCCIDERANNO
UCCIDERE,TO KILL,PASSATO PROSSIMO,HO UCCISO,HAI UCCISO,HA UCCISO,ABBIAMO UCCISO,AVETE UCCISO,HANNO UCCISO
UCCIDERE,TO KILL,TRAPASSATO PROSSIMO,AVEVO UCCISO,AVEVI UCCISO,AVEVA UCCISO,AVEVAMO UCCISO,AVEVATE UCCISO,AVEVANO UCCISO
UCCIDERE,TO KILL,TRAPASSATO REMOTO,EBBI UCCISO,AVESTI UCCISO,EBBE UCCISO,AVEMMO UCCISO,AVESTE UCCISO,EBBERO UCCISO
UCCIDERE,TO KILL,FUTURO ANTERIORE,AVRÒ UCCISO,AVRAI UCCISO,AVRÀ UCCISO,AVREMO UCCISO,AVRETE UCCISO,AVRANNO UCCISO
UCCIDERE,TO KILL,PRESENTE CONGIUNTIVO,UCCIDA,UCCIDA,UCCIDA,UCCIDIAMO,UCCIDIATE,UCCIDANO
UCCIDERE,TO KILL,IMPERFETTO CONGIUNTIVO,UCCIDESSI,UCCIDESSI,UCCIDESSE,UCCIDESSIMO,UCCIDESTE,UCCIDESSERO
UCCIDERE,TO KILL,PASSATO CONGIUNTIVO,ABBIA UCCISO,ABBIA UCCISO,ABBIA UCCISO,ABBIAMO UCCISO,ABBIATE UCCISO,ABBIANO UCCISO
UCCIDERE,TO KILL,TRAPASSATO CONGIUNTIVO,AVESSI UCCISO,AVESSI UCCISO,AVESSE UCCISO,AVESSIMO UCCISO,AVESTE UCCISO,AVESSERO UCCISO
UCCIDERE,TO KILL,PRESENTE CONDIZIONALE,UCCIDEREI,UCCIDERESTI,UCCIDEREBBE,UCCIDEREMMO,UCCIDERESTE,UCCIDEREBBERO
UCCIDERE,TO KILL,PASSATO CONDIZIONALE,AVREI UCCISO,AVRESTI UCCISO,AVREBBE UCCISO,AVREMMO UCCISO,AVRESTE UCCISO,AVREBBERO UCCISO
